Time,Report Time,LatLng,rad,Locate Type,Strength,Cell Tower,is_sz,Network,Wifi,Br,Charging
"30/09/2025 09:22:01","30/09/2025 09:22:00","51.355395, -0.187821","19","wifi","-15 dBm","2448_2991366_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|b0:26:80:ae:2d:50,-56","63%","NO"
"30/09/2025 09:21:02","30/09/2025 09:21:00","51.355395, -0.187821","19","wifi","-17 dBm","2448_3379463_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|b0:26:80:ae:2d:50,-56","63%","NO"
"30/09/2025 09:18:01","30/09/2025 09:18:00","51.355395, -0.187821","19","wifi","-17 dBm","2448_4072712_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|b0:26:80:ae:2d:50,-56","63%","NO"
"30/09/2025 09:14:01","30/09/2025 09:14:00","51.355395, -0.187821","19","wifi","-8 dBm","2448_4072711_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|b0:26:80:ae:2d:50,-56","63%","NO"
"30/09/2025 09:13:02","30/09/2025 09:13:00","51.355395, -0.187821","19","wifi","null dBm","2448_4066567_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|b0:26:80:ae:2d:50,-56","63%","NO"
"30/09/2025 09:10:02","30/09/2025 09:10:00","51.355395, -0.187821","19","wifi","-15 dBm","2448_4072711_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|b0:26:80:ae:2d:50,-56","63%","NO"
"30/09/2025 09:09:06","30/09/2025 09:09:00","51.355395, -0.187821","19","wifi","-2 dBm","2448_8197382_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|b0:26:80:ae:2d:50,-56","63%","NO"
"30/09/2025 09:06:01","30/09/2025 09:06:00","51.355395, -0.187821","19","wifi","-12 dBm","2450_2679562_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|b0:26:80:ae:2d:50,-63|c2:c1:74:da:52:c0,-73|8c:83:94:02:94:7a,-77|72:83:94:02:94:7b,-73","65%","NO"
"30/09/2025 09:05:09","30/09/2025 09:05:07","51.355395, -0.187821","19","wifi","-15 dBm","2450_2679562_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|b0:26:80:ae:2d:50,-62|9e:34:1e:ad:19:01,-79","65%","NO"
"30/09/2025 09:05:04","30/09/2025 09:05:02","51.355395, -0.187821","19","wifi","-13 dBm","2450_2679562_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|b0:26:80:ae:2d:50,-62|9e:34:1e:ad:19:01,-79","65%","NO"
"30/09/2025 09:04:39","30/09/2025 09:04:38","51.355395, -0.187821","19","wifi","-20 dBm","2450_2679562_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|9e:34:1e:ad:19:01,-77|b0:26:80:ae:2d:50,-62","65%","NO"
"30/09/2025 09:04:16","30/09/2025 09:04:14","51.355395, -0.187821","19","wifi","-11 dBm","2450_2679562_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|b0:26:80:ae:2d:50,-64|c2:c1:74:da:52:c0,-78","65%","NO"
"30/09/2025 09:03:52","30/09/2025 09:03:50","51.355395, -0.187821","19","wifi","-7 dBm","2450_2679553_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|b0:26:80:ae:2d:50,-65|9e:34:1e:ad:19:01,-77|c2:c1:74:da:52:c0,-79","65%","NO"
"30/09/2025 09:03:28","30/09/2025 09:03:26","51.355395, -0.187821","19","wifi","-9 dBm","2450_3123973_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|b0:26:80:ae:2d:50,-67","66%","NO"
"29/09/2025 22:08:01","29/09/2025 22:08:00","51.355467, -0.1884335","19","wifi","-22 dBm","2449_3581962_234_30","0","LTE","9c:31:c3:32:f1:2a,-46|00:5f:67:28:97:17,-71|bc:f8:7e:2a:d7:3e,-82|3c:9e:c7:5c:57:7a,-82|72:f8:7e:2a:d7:3f,-82","79%","NO"
"29/09/2025 21:08:01","29/09/2025 21:08:00","51.355467, -0.1884335","19","wifi","-19 dBm","2449_3581956_234_30","0","LTE","9c:31:c3:32:f1:2a,-46|00:5f:67:28:97:17,-71|bc:f8:7e:2a:d7:3e,-82|3c:9e:c7:5c:57:7a,-82|72:f8:7e:2a:d7:3f,-82","81%","NO"
"29/09/2025 21:07:27","29/09/2025 21:07:27","51.355467, -0.1884335","19","wifi","-17 dBm","2449_3581962_234_30","0","LTE","9c:31:c3:32:f1:2a,-46|00:5f:67:28:97:17,-71|bc:f8:7e:2a:d7:3e,-82|3c:9e:c7:5c:57:7a,-82|72:f8:7e:2a:d7:3f,-82","81%","NO"
"29/09/2025 20:42:01","29/09/2025 20:42:00","51.355467, -0.1884335","19","wifi","-21 dBm","2449_3581962_234_30","0","LTE","9c:31:c3:32:f1:2a,-46|00:5f:67:28:97:17,-71|bc:f8:7e:2a:d7:3e,-82|3c:9e:c7:5c:57:7a,-82|72:f8:7e:2a:d7:3f,-82","81%","NO"
"29/09/2025 20:30:02","29/09/2025 20:30:00","51.355467, -0.1884335","19","wifi","-18 dBm","2449_3581956_234_30","0","LTE","9c:31:c3:32:f1:2a,-46|00:5f:67:28:97:17,-71|bc:f8:7e:2a:d7:3e,-82|3c:9e:c7:5c:57:7a,-82|72:f8:7e:2a:d7:3f,-82","82%","NO"
"29/09/2025 18:54:03","29/09/2025 18:54:00","51.3554458618164060, -0.1872959733009338","5","gps","-22 dBm","2449_3581962_234_30","0","LTE","9c:31:c3:32:f1:2a,-46|00:5f:67:28:97:17,-71|bc:f8:7e:2a:d7:3e,-82|3c:9e:c7:5c:57:7a,-82|72:f8:7e:2a:d7:3f,-82","85%","NO"
"29/09/2025 18:25:02","29/09/2025 18:25:00","51.355467, -0.1884335","19","wifi","-24 dBm","2449_3581959_234_30","0","LTE","9c:31:c3:32:f1:2a,-47|00:5f:67:28:97:17,-71|bc:f8:7e:2a:d7:3e,-82|3c:9e:c7:5c:57:7a,-82|72:f8:7e:2a:d7:3f,-82","70%","NO"
"29/09/2025 17:35:02","29/09/2025 17:35:00","51.355467, -0.1884335","19","wifi","-16 dBm","2449_3581962_234_30","0","LTE","9c:31:c3:32:f1:2a,-47|00:5f:67:28:97:17,-71|bc:f8:7e:2a:d7:3e,-82|3c:9e:c7:5c:57:7a,-82|72:f8:7e:2a:d7:3f,-82","29%","NO"
"29/09/2025 17:26:01","29/09/2025 17:26:00","51.3554115295410160, -0.1872871667146683","5","gps","-22 dBm","2449_3581959_234_30","0","LTE","9c:31:c3:32:f1:2a,-46|00:5f:67:28:97:17,-71|bc:f8:7e:2a:d7:3e,-82|3c:9e:c7:5c:57:7a,-82|72:f8:7e:2a:d7:3f,-82","21%","NO"
